Year,prev_year,State,District,current_crime_rate,prev_crime_rate,yoy_absolute_change,yoy_percent_change,trend_direction
2022,2021,Karnataka,Bidar,6.38,3.88,2.5,64.44,STABLE
2022,2021,Chhattisgarh,Raigarh,5.82,3.33,2.49,74.56,STABLE
2023,2022,Rajasthan,Baran,34.21,31.72,2.49,7.86,STABLE
2022,2021,Haryana,Jind,17.27,14.8,2.47,16.73,STABLE
2023,2022,Jammu & Kashmir,Ramban,7.05,4.6,2.45,53.35,STABLE
2022,2021,Telangana,Mahabubabad,6.28,3.83,2.45,63.97,STABLE
2023,2022,Jharkhand,Garhwa,10.06,7.63,2.43,31.92,STABLE
2022,2021,Rajasthan,Bikaner,25.71,23.28,2.43,10.42,STABLE
2023,2022,Uttar Pradesh,Unnao,10.24,7.81,2.43,31.2,STABLE
2023,2022,Jharkhand,Chatra,6.34,3.92,2.42,61.78,STABLE
2022,2021,Maharashtra,Wardha,6.08,3.68,2.4,65.36,STABLE
2024,2023,Himachal Pradesh,Solan,6.14,3.75,2.39,63.91,STABLE
2022,2021,Madhya Pradesh,Seoni,13.68,11.29,2.39,21.21,STABLE
2022,2021,Uttar Pradesh,Sambhal,11.53,9.14,2.39,26.2,STABLE
2024,2023,Himachal Pradesh,Kullu,4.96,2.58,2.38,92.14,STABLE
2022,2021,Odisha,Baragarh,9.46,7.08,2.38,33.63,STABLE
2022,2021,Punjab,Bathinda,7.89,5.51,2.38,43.17,STABLE
2023,2022,Karnataka,Uttara Kannada,4.36,2.0,2.36,118.36,STABLE
2022,2021,Manipur,Imphal West,4.2,1.85,2.35,127.45,STABLE
2022,2021,Uttar Pradesh,Shrawasti,5.84,3.5,2.34,66.76,STABLE
2022,2021,Rajasthan,Rajsamand,29.1,26.77,2.33,8.72,STABLE
2023,2022,Rajasthan,Jaipur East,20.24,17.95,2.29,12.78,STABLE
2023,2022,Uttar Pradesh,Mahoba,5.56,3.28,2.28,69.72,STABLE
2022,2021,Odisha,Malkangiri,25.53,23.26,2.27,9.77,STABLE
2024,2023,Himachal Pradesh,Mandi,7.48,5.22,2.26,43.33,STABLE
2023,2022,Himachal Pradesh,Solan,3.75,1.5,2.25,150.26,STABLE
2022,2021,Maharashtra,Parbhani,14.54,12.31,2.23,18.08,STABLE
2024,2023,Jharkhand,Chaibasa,5.52,3.34,2.18,65.42,STABLE
2023,2022,Karnataka,Kalaburgi City,5.77,3.59,2.18,60.94,STABLE
2023,2022,Odisha,Mayurbhanj,18.15,15.98,2.17,13.59,STABLE
2023,2022,Mizoram,Lunglei,2.15,0.0,2.15,,STABLE
2022,2021,Madhya Pradesh,Khargone,7.43,5.29,2.14,40.39,STABLE
2022,2021,Madhya Pradesh,Narsinghpur,10.43,8.3,2.13,25.59,STABLE
2022,2021,Rajasthan,Dungarpur,13.46,11.33,2.13,18.75,STABLE
2022,2021,Rajasthan,Alwar,24.68,22.58,2.1,9.31,STABLE
2022,2021,Maharashtra,Mumbai Commr.,37.37,35.29,2.08,5.89,STABLE
2023,2022,Punjab,Ropar,4.16,2.08,2.08,100.1,STABLE
2023,2022,Karnataka,Ballari,6.27,4.2,2.07,49.24,STABLE
2023,2022,Mizoram,Champhai,2.07,0.0,2.07,,STABLE
2024,2023,Chhattisgarh,Balrampur,5.26,3.2,2.06,64.52,STABLE
2023,2022,Karnataka,Chitradurga,6.81,4.77,2.04,42.81,STABLE
2021,2021,Sikkim,East,2.45,0.41,2.04,502.01,STABLE
2022,2021,Assam,Dima Hasao,4.47,2.44,2.03,83.43,STABLE
2023,2022,Haryana,Jind,19.29,17.27,2.02,11.68,STABLE
2023,2022,Mizoram,Mamit,2.01,0.0,2.01,,STABLE
2023,2022,Uttar Pradesh,Agra,20.84,18.83,2.01,10.66,STABLE
2022,2021,Uttarakhand,Bageshwar,5.02,3.01,2.01,66.71,STABLE
2022,2021,Telangana,Suryapet,10.7,8.7,2.0,22.96,STABLE
2022,2021,Uttarakhand,Pithoragarh,4.68,2.7,1.98,73.46,STABLE
2022,2021,Telangana,Nagarkurnool,3.86,1.89,1.97,104.58,STABLE
2022,2021,Telangana,Warangal Commissionerate,18.05,16.08,1.97,12.25,STABLE
2024,2023,Madhya Pradesh,Jhabua,9.93,7.97,1.96,24.53,STABLE
2022,2021,Maharashtra,Jalgaon,12.7,10.75,1.95,18.12,STABLE
2023,2022,Bihar,Jamui,3.56,1.63,1.93,118.4,STABLE
2023,2022,Uttar Pradesh,Chitrakoot,7.1,5.17,1.93,37.25,STABLE
2022,2021,Uttar Pradesh,Lalitpur,5.55,3.63,1.92,52.88,STABLE
2022,2021,Telangana,Sangareddy,6.28,4.39,1.89,42.95,STABLE
2022,2021,Uttar Pradesh,Auraiya,18.78,16.89,1.89,11.17,STABLE
2022,2021,Bihar,Sitamarhi,4.85,2.97,1.88,63.2,STABLE
2023,2022,Himachal Pradesh,Hamirpur,3.06,1.18,1.88,159.07,STABLE
2024,2023,Jharkhand,Sahebganj,5.82,3.94,1.88,47.58,STABLE
2022,2021,Madhya Pradesh,Panna,14.37,12.49,1.88,15.06,STABLE
2022,2021,Rajasthan,Ajmer,42.11,40.23,1.88,4.68,STABLE
2022,2021,Uttar Pradesh,Baghpat,8.01,6.14,1.87,30.47,STABLE
2022,2021,Uttar Pradesh,Shamli,9.43,7.58,1.85,24.38,STABLE
2023,2021,Nagaland,Peren,1.83,0.0,1.83,,STABLE
2022,2021,Rajasthan,Pali,37.34,35.51,1.83,5.16,STABLE
2022,2021,West Bengal,Jangipur Police District,14.21,12.38,1.83,14.81,STABLE
2022,2021,D&N Haveli and Daman & Diu,Daman,3.18,1.36,1.82,133.04,STABLE
